ping 18.194.1.181 -c 100
PING 18.194.1.181 (18.194.1.181) 56(84) bytes of data.
64 bytes from 18.194.1.181: icmp_seq=81 ttl=63 time=0.602 ms
64 bytes from 18.194.1.181: icmp_seq=82 ttl=63 time=0.631 ms
64 bytes from 18.194.1.181: icmp_seq=83 ttl=63 time=0.615 ms
64 bytes from 18.194.1.181: icmp_seq=84 ttl=63 time=0.616 ms
64 bytes from 18.194.1.181: icmp_seq=85 ttl=63 time=0.610 ms
64 bytes from 18.194.1.181: icmp_seq=86 ttl=63 time=0.648 ms
64 bytes from 18.194.1.181: icmp_seq=87 ttl=63 time=0.612 ms
64 bytes from 18.194.1.181: icmp_seq=88 ttl=63 time=0.615 ms
64 bytes from 18.194.1.181: icmp_seq=89 ttl=63 time=0.647 ms
64 bytes from 18.194.1.181: icmp_seq=90 ttl=63 time=0.600 ms
64 bytes from 18.194.1.181: icmp_seq=91 ttl=63 time=0.615 ms
64 bytes from 18.194.1.181: icmp_seq=92 ttl=63 time=0.601 ms
64 bytes from 18.194.1.181: icmp_seq=93 ttl=63 time=0.629 ms
64 bytes from 18.194.1.181: icmp_seq=94 ttl=63 time=0.605 ms
64 bytes from 18.194.1.181: icmp_seq=95 ttl=63 time=0.599 ms
64 bytes from 18.194.1.181: icmp_seq=96 ttl=63 time=0.610 ms
64 bytes from 18.194.1.181: icmp_seq=97 ttl=63 time=0.611 ms
64 bytes from 18.194.1.181: icmp_seq=98 ttl=63 time=0.614 ms
64 bytes from 18.194.1.181: icmp_seq=99 ttl=63 time=0.638 ms
64 bytes from 18.194.1.181: icmp_seq=100 ttl=63 time=0.628 ms

--- 18.194.1.181 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 98997ms
rtt min/avg/max/mdev = 0.595/0.614/0.660/0.015 ms
