S3	2316.00	70.00	4.00	2390.00
S3	2711.00	77.00	3.00	2791.00
S3	2522.00	77.00	5.00	2604.00
S3	2938.00	119.00	5.00	3062.00
S3	3588.00	100.00	4.00	3692.00
S3	2424.00	78.00	5.00	2507.00
S3	4213.00	88.00	5.00	4306.00
S3	2609.00	76.00	4.00	2689.00
S3	2794.00	112.00	5.00	2911.00
S3	2726.00	94.00	3.00	2823.00
S3	2651.00	90.00	3.00	2744.00
S3	3675.00	89.00	3.00	3767.00
S3	2986.00	89.00	4.00	3079.00
S3	4099.00	80.00	4.00	4183.00
S3	2746.00	89.00	4.00	2839.00
S3	3878.00	91.00	4.00	3973.00
S3	4680.00	93.00	4.00	4777.00
S3	2711.00	90.00	4.00	2805.00
S3	2901.00	90.00	4.00	2995.00
S3	2943.00	94.00	4.00	3041.00
S3	3261.00	93.00	4.00	3358.00
S3	3890.00	110.00	5.00	4005.00
S3	3190.00	84.00	4.00	3278.00
S3	3883.00	98.00	4.00	3985.00
S3	3150.00	93.00	4.00	3247.00
S3	3370.00	92.00	5.00	3467.00
S3	3153.00	86.00	4.00	3243.00
S3	3279.00	101.00	4.00	3384.00
S3	3237.00	101.00	5.00	3343.00
S3	3613.00	92.00	5.00	3710.00
S3	3755.00	97.00	4.00	3856.00
S3	4698.00	108.00	11.00	4817.00
S3	3801.00	98.00	4.00	3903.00
S3	3558.00	91.00	9.00	3658.00
S3	3354.00	96.00	9.00	3459.00
S3	3359.00	107.00	5.00	3471.00
S3	3430.00	110.00	5.00	3545.00
S3	3749.00	107.00	6.00	3862.00
S3	3773.00	105.00	5.00	3883.00
S3	3581.00	100.00	5.00	3686.00
S3	3584.00	110.00	6.00	3700.00
S3	3668.00	155.00	7.00	3830.00
S3	3704.00	156.00	7.00	3867.00
S3	3757.00	99.00	5.00	3861.00
S3	3949.00	105.00	6.00	4060.00
S3	3805.00	108.00	6.00	3919.00
S3	3805.00	103.00	7.00	3915.00
S3	3841.00	109.00	6.00	3956.00
S3	3774.00	122.00	5.00	3901.00
S3	3916.00	107.00	5.00	4028.00
S3	3847.00	114.00	6.00	3967.00
S3	3786.00	120.00	5.00	3911.00
S3	3874.00	112.00	6.00	3992.00
S3	4062.00	132.00	6.00	4200.00
S3	4319.00	110.00	5.00	4434.00
S3	4235.00	175.00	7.00	4417.00
S3	4056.00	121.00	10.00	4187.00
S3	4261.00	130.00	6.00	4397.00
S3	4671.00	111.00	5.00	4787.00
S3	4252.00	121.00	5.00	4378.00
S3	4632.00	148.00	13.00	4793.00
S3	6666.00	162.00	6.00	6834.00
S3	4269.00	128.00	8.00	4405.00
S3	4424.00	132.00	6.00	4562.00
S3	4336.00	120.00	7.00	4463.00
S3	4889.00	129.00	6.00	5024.00
S3	4408.00	120.00	8.00	4536.00
S3	4709.00	128.00	7.00	4844.00
S3	5604.00	124.00	8.00	5736.00
S3	4689.00	133.00	6.00	4828.00
S3	4656.00	133.00	6.00	4795.00
S3	4817.00	135.00	6.00	4958.00
S3	5830.00	131.00	7.00	5968.00
S3	4860.00	133.00	7.00	5000.00
S3	4945.00	208.00	9.00	5162.00
S3	4884.00	138.00	6.00	5028.00
S3	4631.00	146.00	6.00	4783.00
S3	4892.00	135.00	7.00	5034.00
S3	4643.00	139.00	8.00	4790.00
S3	4964.00	142.00	11.00	5117.00
S3	4992.00	140.00	7.00	5139.00
S3	5072.00	141.00	6.00	5219.00
S3	5692.00	145.00	7.00	5844.00
S3	5257.00	143.00	6.00	5406.00
S3	5150.00	147.00	7.00	5304.00
S3	5365.00	151.00	7.00	5523.00
S3	5188.00	143.00	6.00	5337.00
S3	5041.00	146.00	6.00	5193.00
S3	5058.00	144.00	7.00	5209.00
S3	5240.00	149.00	7.00	5396.00
S3	4905.00	147.00	7.00	5059.00
S3	5317.00	155.00	7.00	5479.00
S3	6130.00	148.00	7.00	6285.00
