Data Store	Retrieval	Decode & Decryption	Sum computation	Total
Experiment number #0
*** S3 SUM ***
S3	1428.00	208.00	20.00	1656.00
S3	2297.00	219.00	5.00	2521.00
S3	1616.00	246.00	5.00	1867.00
S3	1405.00	211.00	5.00	1621.00
S3	1523.00	205.00	4.00	1732.00
S3	1556.00	212.00	5.00	1773.00
S3	1419.00	210.00	5.00	1634.00
S3	1730.00	212.00	5.00	1947.00
S3	1425.00	225.00	5.00	1655.00
S3	1539.00	230.00	5.00	1774.00
S3	1471.00	216.00	5.00	1692.00
S3	1452.00	230.00	5.00	1687.00
S3	2853.00	224.00	5.00	3082.00
S3	1577.00	278.00	5.00	1860.00
S3	1540.00	226.00	5.00	1771.00
S3	1584.00	234.00	6.00	1824.00
S3	1492.00	237.00	5.00	1734.00
S3	1523.00	276.00	5.00	1804.00
S3	1546.00	226.00	5.00	1777.00
S3	1632.00	254.00	6.00	1892.00
S3	1521.00	263.00	6.00	1790.00
S3	1576.00	262.00	5.00	1843.00
S3	1492.00	226.00	33.00	1751.00
S3	1754.00	259.00	5.00	2018.00
S3	1466.00	247.00	6.00	1719.00
S3	1551.00	239.00	6.00	1796.00
S3	1495.00	259.00	6.00	1760.00
S3	1479.00	250.00	6.00	1735.00
S3	1666.00	266.00	5.00	1937.00
S3	1550.00	240.00	17.00	1807.00
S3	1748.00	267.00	6.00	2021.00
S3	1589.00	277.00	6.00	1872.00
S3	1754.00	257.00	5.00	2016.00
S3	1676.00	234.00	7.00	1917.00
S3	1635.00	241.00	7.00	1883.00
S3	1690.00	250.00	6.00	1946.00
S3	1756.00	237.00	37.00	2030.00
S3	1906.00	239.00	7.00	2152.00
S3	1692.00	288.00	6.00	1986.00
S3	1646.00	250.00	7.00	1903.00
S3	1717.00	252.00	7.00	1976.00
S3	1785.00	268.00	6.00	2059.00
S3	1663.00	256.00	7.00	1926.00
S3	3787.00	250.00	7.00	4044.00
S3	3649.00	269.00	6.00	3924.00
S3	2240.00	256.00	7.00	2503.00
S3	1817.00	330.00	6.00	2153.00
S3	1728.00	259.00	30.00	2017.00
S3	1762.00	295.00	7.00	2064.00
S3	1767.00	262.00	7.00	2036.00
S3	1803.00	264.00	7.00	2074.00
S3	1763.00	279.00	7.00	2049.00
S3	1760.00	297.00	7.00	2064.00
S3	1722.00	296.00	7.00	2025.00
S3	1754.00	303.00	7.00	2064.00
S3	1829.00	300.00	6.00	2135.00
S3	1866.00	311.00	7.00	2184.00
S3	1806.00	307.00	7.00	2120.00
S3	1770.00	311.00	7.00	2088.00
S3	2157.00	313.00	7.00	2477.00
S3	1945.00	317.00	7.00	2269.00
S3	1785.00	313.00	7.00	2105.00
S3	1915.00	319.00	7.00	2241.00
S3	1865.00	406.00	8.00	2279.00
S3	1889.00	328.00	7.00	2224.00
S3	2125.00	284.00	40.00	2449.00
S3	1845.00	365.00	7.00	2217.00
S3	1908.00	284.00	8.00	2200.00
S3	1891.00	327.00	7.00	2225.00
S3	2035.00	340.00	7.00	2382.00
S3	2003.00	302.00	8.00	2313.00
S3	1993.00	310.00	8.00	2311.00
S3	1976.00	421.00	15.00	2412.00
S3	1918.00	326.00	8.00	2252.00
S3	1977.00	329.00	7.00	2313.00
S3	1939.00	335.00	8.00	2282.00
S3	1962.00	334.00	8.00	2304.00
S3	2018.00	339.00	8.00	2365.00
S3	2479.00	339.00	8.00	2826.00
S3	2128.00	341.00	8.00	2477.00
S3	2068.00	347.00	8.00	2423.00
S3	1993.00	347.00	8.00	2348.00
S3	3400.00	363.00	8.00	3771.00
S3	2361.00	365.00	8.00	2734.00
S3	2545.00	309.00	8.00	2862.00
S3	2212.00	348.00	8.00	2568.00
S3	2123.00	351.00	8.00	2482.00
S3	2230.00	311.00	9.00	2550.00
S3	2232.00	375.00	8.00	2615.00
S3	2738.00	309.00	9.00	3056.00
S3	2174.00	346.00	8.00	2528.00
S3	2259.00	313.00	19.00	2591.00
S3	2696.00	345.00	8.00	3049.00
S3	2377.00	319.00	9.00	2705.00
S3	2351.00	353.00	8.00	2712.00
S3	2217.00	315.00	9.00	2541.00
S3	2169.00	354.00	8.00	2531.00
S3	2216.00	317.00	9.00	2542.00
S3	2286.00	354.00	8.00	2648.00
S3	2255.00	323.00	48.00	2626.00
S3	2332.00	363.00	23.00	2718.00
S3	2179.00	329.00	9.00	2517.00
S3	2278.00	338.00	9.00	2625.00
S3	2211.00	346.00	25.00	2582.00
S3	2276.00	332.00	9.00	2617.00
S3	2235.00	362.00	8.00	2605.00
S3	2211.00	368.00	9.00	2588.00
S3	2361.00	337.00	10.00	2708.00
S3	2388.00	363.00	8.00	2759.00
S3	2300.00	333.00	10.00	2643.00
S3	2491.00	423.00	9.00	2923.00
S3	2866.00	339.00	10.00	3215.00
S3	2243.00	375.00	9.00	2627.00
S3	2452.00	345.00	10.00	2807.00
S3	2312.00	400.00	9.00	2721.00
S3	2346.00	348.00	10.00	2704.00
S3	2362.00	409.00	9.00	2780.00
S3	2371.00	340.00	10.00	2721.00
S3	3031.00	384.00	9.00	3424.00
S3	2323.00	352.00	53.00	2728.00
S3	2336.00	425.00	9.00	2770.00
S3	2324.00	414.00	9.00	2747.00
S3	2431.00	419.00	9.00	2859.00
S3	2408.00	344.00	10.00	2762.00
S3	2319.00	381.00	9.00	2709.00
S3	2414.00	373.00	9.00	2796.00
S3	2463.00	370.00	9.00	2842.00
S3	3787.00	384.00	10.00	4181.00
S3	3078.00	392.00	9.00	3479.00
S3	2810.00	404.00	10.00	3224.00
S3	2582.00	443.00	9.00	3034.00
