Data Store	Retrieval	Decode & Decryption	Sum computation	Total
Experiment number #0
*** Baseline SUM ***
TimeCrypt Baseline	2.38	3.28	0.98	6.64
TimeCrypt Baseline	11.31	3.35	0.99	15.65
TimeCrypt Baseline	10.66	3.27	0.96	14.88
TimeCrypt Baseline	10.73	3.53	1.05	15.31
TimeCrypt Baseline	2.33	3.63	0.95	6.91
TimeCrypt Baseline	10.55	3.48	1.05	15.09
TimeCrypt Baseline	10.50	3.52	0.93	14.95
TimeCrypt Baseline	7.36	3.47	0.96	11.80
TimeCrypt Baseline	19.86	3.32	0.93	24.11
TimeCrypt Baseline	2.41	3.33	0.95	6.70
TimeCrypt Baseline	12.55	3.79	0.99	17.33
TimeCrypt Baseline	10.72	3.55	0.98	15.25
TimeCrypt Baseline	10.64	3.62	1.01	15.27
TimeCrypt Baseline	10.45	3.63	1.00	15.08
TimeCrypt Baseline	10.40	3.47	0.94	14.81
TimeCrypt Baseline	10.50	3.52	0.94	14.96
TimeCrypt Baseline	6.64	3.46	0.97	11.07
TimeCrypt Baseline	14.76	3.65	1.00	19.41
TimeCrypt Baseline	6.18	3.66	1.01	10.85
TimeCrypt Baseline	22.30	3.54	0.98	26.82
TimeCrypt Baseline	4.06	3.70	1.01	8.77
TimeCrypt Baseline	2.48	3.75	1.03	7.26
TimeCrypt Baseline	2.46	3.47	1.02	6.96
TimeCrypt Baseline	2.33	3.58	1.03	6.94
TimeCrypt Baseline	2.32	3.58	1.04	6.94
TimeCrypt Baseline	2.51	3.71	1.01	7.22
TimeCrypt Baseline	2.41	3.68	1.01	7.11
TimeCrypt Baseline	2.42	3.73	0.97	7.12
TimeCrypt Baseline	2.37	3.73	0.98	7.08
TimeCrypt Baseline	2.40	3.46	1.03	6.89
TimeCrypt Baseline	2.38	3.47	0.97	6.82
TimeCrypt Baseline	2.44	3.57	1.03	7.05
TimeCrypt Baseline	2.31	3.63	1.03	6.97
TimeCrypt Baseline	2.48	3.71	1.03	7.22
TimeCrypt Baseline	7.86	3.68	0.97	12.50
TimeCrypt Baseline	10.73	3.75	1.03	15.51
TimeCrypt Baseline	21.22	5.26	2.54	29.02
TimeCrypt Baseline	13.35	3.82	0.97	18.15
TimeCrypt Baseline	2.54	3.62	1.01	7.16
TimeCrypt Baseline	2.47	3.88	1.02	7.37
TimeCrypt Baseline	8.53	3.51	1.07	13.10
TimeCrypt Baseline	10.42	3.52	1.02	14.96
TimeCrypt Baseline	10.40	3.72	1.06	15.18
TimeCrypt Baseline	10.09	3.74	0.96	14.79
TimeCrypt Baseline	2.51	3.74	1.06	7.31
TimeCrypt Baseline	10.12	3.65	1.01	14.78
TimeCrypt Baseline	10.40	3.74	1.05	15.19
TimeCrypt Baseline	10.15	3.80	1.04	14.98
TimeCrypt Baseline	19.38	3.67	1.05	24.10
TimeCrypt Baseline	17.77	3.84	1.03	22.64
TimeCrypt Baseline	9.85	3.67	0.95	14.47
TimeCrypt Baseline	9.89	3.81	1.02	14.72
TimeCrypt Baseline	6.15	3.68	1.09	10.92
TimeCrypt Baseline	10.20	3.88	1.01	15.09
TimeCrypt Baseline	10.07	3.67	1.02	14.76
TimeCrypt Baseline	4.70	3.82	1.09	9.61
TimeCrypt Baseline	18.92	3.69	1.07	23.67
TimeCrypt Baseline	3.32	3.77	1.04	8.13
TimeCrypt Baseline	2.37	3.73	1.15	7.25
TimeCrypt Baseline	2.86	3.76	1.09	7.70
TimeCrypt Baseline	2.44	3.64	1.00	7.09
TimeCrypt Baseline	3.33	3.78	1.04	8.15
TimeCrypt Baseline	3.48	3.76	0.99	8.23
TimeCrypt Baseline	2.46	3.57	1.01	7.04
TimeCrypt Baseline	9.03	3.86	1.08	13.97
TimeCrypt Baseline	11.31	3.78	1.05	16.14
TimeCrypt Baseline	10.12	3.73	1.09	14.94
TimeCrypt Baseline	20.22	3.55	1.05	24.82
TimeCrypt Baseline	13.15	3.75	1.10	17.99
TimeCrypt Baseline	9.87	3.76	1.07	14.71
TimeCrypt Baseline	9.92	3.69	1.02	14.63
TimeCrypt Baseline	8.49	3.91	1.08	13.48
TimeCrypt Baseline	11.53	3.87	1.12	16.52
TimeCrypt Baseline	10.00	3.77	1.07	14.85
TimeCrypt Baseline	9.98	3.95	1.08	15.01
TimeCrypt Baseline	16.80	3.77	1.03	21.61
TimeCrypt Baseline	12.02	3.98	1.08	17.07
TimeCrypt Baseline	5.05	3.85	1.09	9.98
TimeCrypt Baseline	10.23	3.87	1.11	15.21
TimeCrypt Baseline	9.92	3.93	1.04	14.89
TimeCrypt Baseline	9.96	3.84	1.06	14.85
TimeCrypt Baseline	9.90	21.40	1.13	32.43
