Data Store	Retrieval	Decode & Decryption	Sum computation	Total
Experiment number #0
*** Baseline SUM ***
TimeCrypt Baseline	1.76	0.28	0.14	2.18
TimeCrypt Baseline	1.64	0.28	0.31	2.23
TimeCrypt Baseline	13.81	0.30	0.12	14.23
TimeCrypt Baseline	1.74	0.32	0.11	2.16
TimeCrypt Baseline	1.76	0.32	0.12	2.19
TimeCrypt Baseline	1.73	0.31	0.11	2.16
TimeCrypt Baseline	1.74	0.32	22.93	25.00
TimeCrypt Baseline	4.91	0.37	0.16	5.43
TimeCrypt Baseline	1.02	0.34	0.12	1.49
TimeCrypt Baseline	0.95	0.35	0.13	1.42
TimeCrypt Baseline	9.75	0.37	0.13	10.26
TimeCrypt Baseline	0.98	0.36	0.12	1.46
TimeCrypt Baseline	0.97	0.48	0.11	1.55
TimeCrypt Baseline	0.96	0.38	0.12	1.46
TimeCrypt Baseline	0.99	0.39	0.12	1.50
TimeCrypt Baseline	9.00	0.41	0.12	9.54
TimeCrypt Baseline	0.98	0.40	0.15	1.53
TimeCrypt Baseline	1.05	0.47	0.14	1.65
TimeCrypt Baseline	0.97	0.41	0.14	1.52
TimeCrypt Baseline	0.98	0.41	0.13	1.52
TimeCrypt Baseline	1.02	0.45	0.17	1.64
TimeCrypt Baseline	1.00	0.46	0.14	1.61
TimeCrypt Baseline	1.03	0.45	0.14	1.62
TimeCrypt Baseline	0.92	0.45	0.13	1.50
TimeCrypt Baseline	0.92	0.47	0.14	1.52
TimeCrypt Baseline	11.35	0.49	0.14	11.98
TimeCrypt Baseline	0.96	0.47	0.15	1.58
TimeCrypt Baseline	0.90	0.49	0.14	1.53
TimeCrypt Baseline	0.91	0.44	0.14	1.49
TimeCrypt Baseline	0.95	0.45	8.43	9.84
TimeCrypt Baseline	0.91	0.53	0.22	1.67
TimeCrypt Baseline	0.98	0.51	0.14	1.63
TimeCrypt Baseline	0.95	0.52	0.14	1.61
TimeCrypt Baseline	0.91	0.52	0.14	1.58
TimeCrypt Baseline	8.93	0.56	0.15	9.64
TimeCrypt Baseline	0.96	0.58	0.16	1.69
TimeCrypt Baseline	0.96	0.57	0.15	1.68
TimeCrypt Baseline	0.94	0.56	0.16	1.66
TimeCrypt Baseline	0.97	0.58	0.16	1.71
TimeCrypt Baseline	0.95	0.57	0.16	1.68
TimeCrypt Baseline	0.95	9.09	0.15	10.19
TimeCrypt Baseline	1.02	0.55	0.15	1.72
TimeCrypt Baseline	3.42	0.63	0.17	4.21
TimeCrypt Baseline	1.00	0.60	0.18	1.79
TimeCrypt Baseline	0.95	0.62	0.17	1.75
TimeCrypt Baseline	0.95	0.62	0.16	1.72
TimeCrypt Baseline	0.96	0.62	0.18	1.76
TimeCrypt Baseline	0.95	0.66	0.18	1.78
TimeCrypt Baseline	0.99	0.64	0.18	1.80
TimeCrypt Baseline	0.94	0.69	0.16	1.79
TimeCrypt Baseline	0.93	0.63	0.19	1.74
TimeCrypt Baseline	0.94	0.66	0.18	1.78
TimeCrypt Baseline	0.93	0.66	0.20	1.78
TimeCrypt Baseline	0.89	0.67	0.19	1.74
TimeCrypt Baseline	0.89	0.67	0.20	1.76
TimeCrypt Baseline	0.89	0.68	0.19	1.76
TimeCrypt Baseline	0.90	0.74	0.21	1.86
TimeCrypt Baseline	0.91	0.63	0.17	1.71
