Data Store	Retrieval	Decode & Decryption	Sum computation	Total
Experiment number #0
*** Baseline SUM ***
TimeCrypt Baseline	3.12	3.71	0.95	7.78
TimeCrypt Baseline	3.11	3.68	0.92	7.71
TimeCrypt Baseline	2.27	3.67	0.90	6.84
TimeCrypt Baseline	3.19	3.69	0.93	7.81
TimeCrypt Baseline	2.19	3.69	0.92	6.80
TimeCrypt Baseline	2.19	3.69	0.93	6.82
TimeCrypt Baseline	2.24	3.68	0.92	6.84
TimeCrypt Baseline	3.21	3.72	0.91	7.84
TimeCrypt Baseline	3.17	3.70	0.93	7.80
TimeCrypt Baseline	2.13	3.74	0.91	6.78
TimeCrypt Baseline	3.00	3.69	0.95	7.64
TimeCrypt Baseline	3.13	3.72	0.92	7.77
TimeCrypt Baseline	3.12	3.72	0.92	7.76
TimeCrypt Baseline	3.16	3.71	0.95	7.82
TimeCrypt Baseline	3.17	3.73	0.95	7.85
TimeCrypt Baseline	2.22	3.78	0.95	6.96
TimeCrypt Baseline	2.21	3.75	0.93	6.88
TimeCrypt Baseline	2.11	3.74	0.92	6.76
TimeCrypt Baseline	2.99	6.53	0.81	10.33
TimeCrypt Baseline	16.00	3.62	0.90	20.52
TimeCrypt Baseline	11.74	3.81	0.95	16.49
TimeCrypt Baseline	9.17	4.18	0.97	14.33
TimeCrypt Baseline	10.08	4.15	0.95	15.18
TimeCrypt Baseline	10.09	4.17	0.98	15.25
TimeCrypt Baseline	5.23	4.17	0.96	10.36
TimeCrypt Baseline	10.30	16.41	1.00	27.71
TimeCrypt Baseline	4.51	3.81	1.00	9.32
TimeCrypt Baseline	2.31	3.87	0.97	7.14
TimeCrypt Baseline	2.29	3.79	0.99	7.07
TimeCrypt Baseline	3.25	3.79	0.94	7.98
TimeCrypt Baseline	3.15	3.80	0.94	7.89
TimeCrypt Baseline	3.23	3.81	0.95	7.98
TimeCrypt Baseline	2.24	3.82	0.95	7.01
TimeCrypt Baseline	2.35	3.86	0.95	7.16
TimeCrypt Baseline	3.27	3.86	0.96	8.09
TimeCrypt Baseline	3.20	3.87	0.94	8.00
TimeCrypt Baseline	3.27	3.84	0.94	8.04
TimeCrypt Baseline	3.21	3.85	0.94	8.00
TimeCrypt Baseline	3.23	3.84	0.95	8.02
TimeCrypt Baseline	3.29	3.83	0.97	8.09
TimeCrypt Baseline	10.68	4.24	0.94	15.86
TimeCrypt Baseline	18.58	3.73	0.94	23.24
TimeCrypt Baseline	14.28	3.92	0.98	19.18
TimeCrypt Baseline	10.11	3.88	1.01	14.99
TimeCrypt Baseline	10.11	3.87	7.24	21.22
TimeCrypt Baseline	7.34	3.87	1.01	12.22
TimeCrypt Baseline	10.13	3.89	1.02	15.04
TimeCrypt Baseline	10.16	3.92	0.98	15.06
TimeCrypt Baseline	10.10	3.90	0.98	14.98
TimeCrypt Baseline	10.17	3.89	0.96	15.03
TimeCrypt Baseline	10.18	3.89	1.01	15.07
TimeCrypt Baseline	6.21	3.99	0.99	11.18
TimeCrypt Baseline	10.15	3.90	0.97	15.01
TimeCrypt Baseline	13.63	4.01	0.92	18.56
TimeCrypt Baseline	3.64	3.95	1.00	8.59
TimeCrypt Baseline	2.17	3.99	0.95	7.12
TimeCrypt Baseline	2.21	3.92	1.00	7.12
TimeCrypt Baseline	2.20	3.96	0.96	7.12
TimeCrypt Baseline	2.25	3.93	0.96	7.14
TimeCrypt Baseline	3.11	3.94	0.99	8.04
TimeCrypt Baseline	3.30	3.94	0.96	8.20
TimeCrypt Baseline	3.11	3.93	1.01	8.05
TimeCrypt Baseline	3.14	3.95	0.96	8.05
TimeCrypt Baseline	3.13	3.95	0.97	8.05
TimeCrypt Baseline	3.15	3.96	0.98	8.09
TimeCrypt Baseline	3.14	13.42	0.99	17.55
TimeCrypt Baseline	2.30	3.81	0.95	7.06
TimeCrypt Baseline	3.74	4.01	1.00	8.75
TimeCrypt Baseline	3.21	4.34	0.99	8.54
TimeCrypt Baseline	3.26	3.98	0.99	8.23
TimeCrypt Baseline	2.26	3.97	0.99	7.22
TimeCrypt Baseline	2.23	3.97	0.98	7.19
TimeCrypt Baseline	3.32	3.98	0.99	8.28
TimeCrypt Baseline	2.28	3.98	0.98	7.24
TimeCrypt Baseline	2.19	3.98	0.98	7.15
TimeCrypt Baseline	3.16	4.00	0.98	8.13
TimeCrypt Baseline	3.30	4.01	1.04	8.34
TimeCrypt Baseline	12.49	3.88	0.96	17.33
TimeCrypt Baseline	3.70	4.08	1.03	8.82
TimeCrypt Baseline	3.19	4.04	1.00	8.23
TimeCrypt Baseline	3.20	4.04	0.99	8.23
TimeCrypt Baseline	3.21	4.04	1.00	8.25
TimeCrypt Baseline	3.19	4.04	0.98	8.21
TimeCrypt Baseline	3.24	4.05	0.98	8.28
TimeCrypt Baseline	2.48	4.04	0.99	7.51
