Operation(Paillier): 0.000	Operation(EC ElGamal): 0.006	Operation(OPE): 0.000	Operation(ORE): 0.000
Enc(Paillier): 0.346	Enc(EC ElGamal): 0.009	Enc(OPE): 5.519	Enc(ORE): 0.003
Dec(Paillier): 0.134	Dec(EC ElGamal): 0.008	Dec(OPE): 0.004	Dec(ORE): 0.001
Operation(Paillier): 0.000	Operation(EC ElGamal): 0.008	Operation(OPE): 0.000	Operation(ORE): 0.000
Enc(Paillier): 0.324	Enc(EC ElGamal): 0.009	Enc(OPE): 4.733	Enc(ORE): 0.002
Dec(Paillier): 0.150	Dec(EC ElGamal): 0.010	Dec(OPE): 0.005	Dec(ORE): 0.003
Operation(Paillier): 0.000	Operation(EC ElGamal): 0.007	Operation(OPE): 0.000	Operation(ORE): 0.000
Enc(Paillier): 0.351	Enc(EC ElGamal): 0.010	Enc(OPE): 5.017	Enc(ORE): 0.002
Dec(Paillier): 0.136	Dec(EC ElGamal): 0.008	Dec(OPE): 0.003	Dec(ORE): 0.002
Operation(Paillier): 0.000	Operation(EC ElGamal): 0.007	Operation(OPE): 0.000	Operation(ORE): 0.000
Enc(Paillier): 0.330	Enc(EC ElGamal): 0.008	Enc(OPE): 8.013	Enc(ORE): 0.002
Dec(Paillier): 0.152	Dec(EC ElGamal): 0.011	Dec(OPE): 0.003	Dec(ORE): 0.002
Operation(Paillier): 0.000	Operation(EC ElGamal): 0.007	Operation(OPE): 0.000	Operation(ORE): 0.000
Enc(Paillier): 0.373	Enc(EC ElGamal): 0.009	Enc(OPE): 4.895	Enc(ORE): 0.002
Dec(Paillier): 0.141	Dec(EC ElGamal): 0.009	Dec(OPE): 0.003	Dec(ORE): 0.002
Operation(Paillier): 0.000	Operation(EC ElGamal): 0.006	Operation(OPE): 0.000	Operation(ORE): 0.000
Enc(Paillier): 0.356	Enc(EC ElGamal): 0.009	Enc(OPE): 4.301	Enc(ORE): 0.003
Dec(Paillier): 0.136	Dec(EC ElGamal): 0.009	Dec(OPE): 0.003	Dec(ORE): 0.002
Operation(Paillier): 0.000	Operation(EC ElGamal): 0.006	Operation(OPE): 0.000	Operation(ORE): 0.000
